date,state,name,poll
2024/10/1,Michigan,Elissa Slotkin,47
2024/10/2,Michigan,Elissa Slotkin,47
2024/10/3,Michigan,Elissa Slotkin,47
2024/10/4,Michigan,Elissa Slotkin,47
2024/10/5,Michigan,Elissa Slotkin,47
2024/10/6,Michigan,Elissa Slotkin,47
2024/10/7,Michigan,Elissa Slotkin,47
2024/10/8,Michigan,Elissa Slotkin,48
2024/10/9,Michigan,Elissa Slotkin,48
2024/10/10,Michigan,Elissa Slotkin,48
2024/10/11,Michigan,Elissa Slotkin,48
2024/10/12,Michigan,Elissa Slotkin,48
2024/10/13,Michigan,Elissa Slotkin,48
2024/10/14,Michigan,Elissa Slotkin,48
2024/10/15,Michigan,Elissa Slotkin,48
2024/10/16,Michigan,Elissa Slotkin,48
2024/10/17,Michigan,Elissa Slotkin,48
2024/10/18,Michigan,Elissa Slotkin,48
2024/10/19,Michigan,Elissa Slotkin,48
2024/10/20,Michigan,Elissa Slotkin,48
2024/10/21,Michigan,Elissa Slotkin,48
2024/10/22,Michigan,Elissa Slotkin,48
2024/10/23,Michigan,Elissa Slotkin,48
2024/10/24,Michigan,Elissa Slotkin,48
2024/10/25,Michigan,Elissa Slotkin,48
2024/10/26,Michigan,Elissa Slotkin,48
2024/10/27,Michigan,Elissa Slotkin,48
2024/10/28,Michigan,Elissa Slotkin,48
2024/10/29,Michigan,Elissa Slotkin,48
2024/10/30,Michigan,Elissa Slotkin,48
2024/10/31,Michigan,Elissa Slotkin,48
2024/11/1,Michigan,Elissa Slotkin,49
2024/11/2,Michigan,Elissa Slotkin,49
2024/11/3,Michigan,Elissa Slotkin,49
2024/11/4,Michigan,Elissa Slotkin,49
2024/10/1,Michigan,Mike Rogers,42
2024/10/2,Michigan,Mike Rogers,43
2024/10/3,Michigan,Mike Rogers,43
2024/10/4,Michigan,Mike Rogers,43
2024/10/5,Michigan,Mike Rogers,43
2024/10/6,Michigan,Mike Rogers,43
2024/10/7,Michigan,Mike Rogers,43
2024/10/8,Michigan,Mike Rogers,43
2024/10/9,Michigan,Mike Rogers,44
2024/10/10,Michigan,Mike Rogers,44
2024/10/11,Michigan,Mike Rogers,44
2024/10/12,Michigan,Mike Rogers,44
2024/10/13,Michigan,Mike Rogers,44
2024/10/14,Michigan,Mike Rogers,44
