Folder,date,name,keycode,dominance,Audio Length,sentence_counts,word_counts,syll_counts,text,win,gender,party,state,post_date,post_likes,post_comments,post_likes_zscore,post_comments_zscore,follower_date,7days_followers,post_likes_clean,likes_by_follower,likes_by_follower_zscore,comments_by_follower,comments_by_follower_zscore,7days_followers_zscore,engagement_rate,engagement_rate_zscore,VUV,MFCC0,speaking_rate_s,speaking_rate_w,mean_f0,std_f0,F1,F2,falling_ratio,rising_ratio,rising-falling_ratio,falling-rising_ratio,arousal,valence,std_arousal,std_valence,arousal_raw,valence_raw,AU01_mean,AU02_mean,AU04_mean,AU06_mean,AU12_mean,AU15_mean,AU20_mean,AU25_mean,pitch_count_percentage,roll_count_percentage,yaw_count_percentage,valence_mean,valence_std,arousal_mean,arousal_std,anger_percentage,disgust_percentage,fear_percentage,happiness_percentage,sadness_percentage,surprise_percentage,neutral_percentage,angry,disgusted,fearful,happy,neutral,sad,surprised
2024-09-01_14-04-30_UTC_Colin_Allred_C_YJAkbRWX8,2024/9/1,Colin Allred,C_YJAkbRWX8,0.731484719,15.4,7,59,75,"This is a close race.  then you should lose your job.  You helped elect the legislators who passed these laws at the state level  because you called for these laws to be passed.  You celebrated when they were passed.  You know what this margin is?  This is a margin that you can make happen, that we can make happen.",L,M,Democratic,Texas,2024/9/1,667,21,-0.407202702,-0.48293191,2024/9/8,44123,667.0,0.015116832,-0.249440481,0.000475942,-0.382644215,-1.709144887,0.015592775,0.520806994,-0.168546011,0.697658827,-0.314920438,0.621106745,0.348203188,1.319586537,1.532931529,0.212815292,-1.137116012,-0.868879692,-0.826769187,2.927953859,1.158141482,-0.466955181,1.746658952,0.09013693,0.263749141,-0.156466478,0.332164917,0.201937691,0.542192938,0.236255136,0.198344602,0.425571954,0.606557377,0.714224709,0.426229508,0.37704918,0.344262295,-0.385062016,0.214811592,0.392178422,0.133086994,0.704918033,0.213114754,0.0,0.0,0.0,0.0,0.081967213,-0.0307672120474366,-0.0376086125746287,-0.1857008348364344,0.0957625483957513,0.1203154872714118,-0.1590224954231512,0.0489113991785314
2024-09-01_15-16-33_UTC_Elissa_Slotkin_C_YRR3ZviLI,2024/9/1,Elissa Slotkin,C_YRR3ZviLI,0.746480322,24.03798186,11,85,124,"I wanna be a part of that different generation.  I keep telling people,  Gen X and the millennials are coming to the Senate.  and be a part of that generation that plays more offense.  So that instead of talking about their project 2025,  we have our project 2025, right?  Instead of waiting for their terrible state laws,  we show them our good state laws.  We have a plan and a strategy.  That comes from my prior life.  I wanna bring that into my future life.",W,F,Democratic,Michigan,2024/9/1,331,22,-0.186667704,0.072647195,2024/9/8,20651,331.0,0.01602828,-0.184950637,0.001065324,0.077200156,-1.105697128,0.017093603,0.103120923,-5.106670083,-0.595014011,0.084251632,-0.056968452,2.598213883,0.276210202,0.302953255,0.812943238,-0.007358899,-0.099069908,-1.15397468,1.26048884,1.350142843,0.812536605,-0.532460895,0.063295448,0.30243337,0.035762817,0.510263302,0.181973458,0.725370488,0.248913349,0.124164749,0.448273446,0.571428571,0.825847364,0.532467532,0.493506494,0.311688312,-0.500951237,0.156082274,0.514523484,0.174193405,0.233766234,0.272727273,0.077922078,0.0,0.38961039,0.025974026,0.0,4.182779355164846,-0.0197298202139923,-0.205482018578267,0.054145209507429,-2.4773642955069555,-0.2949036382494508,-0.2241239891550512
2024-09-01_15-51-36_UTC_Dave_McCormick_C_YUfsLO9Zb,2024/9/1,Dave McCormick,C_YUfsLO9Zb,0.529997896,42.51698413,15,122,181,"at this horribly difficult time and praying.  of hersh goldberg poland and uh...  precious supporters and friends many times on the weekend vigils in Pittsburgh.  that we need to bring our hostages home.  and more vigilant than ever.  Dina and I were just heartbroken to learn this morning.  for them, praying for them.  and had a chance to pray with  and support Israel in doing so.  Dean and I had a chance to meet with Hersh's mom and dad in Israel early in the new year,  John and Rachel.  and five other hostages yesterday by Hamas.  The absolute murder, just a reminder of the viciousness, the brutality,  the absolute evil of Hamas and the need to eradicate Hamas.  We're just so heartbroken.",W,M,Republican,Pennsylvania,2024/9/1,134,1,-0.469450035,-0.547141468,2024/9/8,536,134.0,0.25,1.185991674,0.001865672,-0.419696403,-0.994685645,0.251865672,1.022022895,-1.361364234,0.336078298,-1.312615303,-1.388521717,-1.312330636,0.326334124,0.008520377,-0.30949353,-0.503565945,-0.304352517,0.372984286,0.482338498,-1.768059226,-0.408682554,-0.292811341,0.638261866,-0.325818662,-0.147711669,0.507448784,0.247133807,0.710658306,0.228581112,0.262819511,0.586894993,0.294871795,0.84608503,0.570512821,0.608974359,0.583333333,-0.362471206,0.167435306,0.297171841,0.090791149,0.647435897,0.128205128,0.0,0.006410256,0.044871795,0.166666667,0.006410256,-0.5124140045686564,-0.3354884335778799,-0.2542505531149983,-0.6078838160819968,0.3443457867735656,3.3931768629390087,-0.2276516587948323
2024-09-01_20-01-34_UTC_Bob_Casey_C_Yx639B6jz,2024/9/1,Bob Casey,C_Yx639B6jz,0.714619743,18.98,7,61,90,"When it comes to women's rights, I voted already.  We're going to win these battles.  We're going to lift up these families, and it's going to start when I beat David McCormick.  Thanks very much.  in the United States Senate to advance the Women's Health Protection Act.  My opponent is unalterably opposed to that.  We'll never ever vote for that bill.",L,M,Democratic,Pennsylvania,2024/9/1,135,3,-0.284644075,-0.440574132,2024/9/8,20663,135.0,0.006533417,-0.284062758,0.000145187,-0.439093503,-1.452890376,0.006678604,0.499155489,0.66412494,-1.498154337,-0.523625195,-0.668447693,-0.090090162,-0.53033782,-0.958313831,-1.159545431,-1.137116012,0.340821397,0.073045918,1.093742338,0.650645358,-0.79573342,1.116961222,1.91038522,0.161499362,-0.205861722,0.432872649,0.220494786,0.65355905,0.23691797,0.200271479,0.360381007,0.591836735,0.615237328,0.551020408,0.530612245,0.408163265,-0.180222135,0.257603096,0.191852244,0.187837407,0.551020408,0.020408163,0.06122449,0.204081633,0.0,0.020408163,0.142857143,2.2516393269637422,0.0588997363771037,-0.2307892823769204,-0.3884310673010286,-1.2622526311081368,-0.2850386192476362,-0.2060848852310109
2024-09-01_20-49-21_UTC_Mike_Rogers_C_Y3KIDPGiL,2024/9/1,Mike Rogers,C_Y3KIDPGiL,0.639759476,256.999932,54,787,1131,"And again, the buy-in, listen, this is caused by Iran.  I mean, think of this, Shia nations giving money and weapons and training to a Sunni terrorist organization for the sole purpose of chaos and killings.  And so we need to stop that.  And I think everybody understands that kind of proxy fighting that Iran is backing needs to come to an end.  And I think we're going to agree on a very tight noose around Iran that will allow this all to stop and allow us to start helping the Palestinian people rebuild their lives.  That's where I think we can make a difference.  And it's several hundred thousand voters here that are really upset with Democrats, including my opponent.  Yeah. And I've I've met with Arab Muslim leaders in and around Dearborn.  And listen, this is an important part of our population and and they're important to the fabric of Michigan.  And I will tell you that there there is a way forward here.  Listen, they they're not happy with the Democrats for sure.  And I'll tell you why. The Democrats told them one thing.  Hey, I will be with you 100 percent and then went off and did something else.  That's what they're mad about here. And so they know someone like me.  I'm very honest with them. I come in and tell you what my position is and then say, how do we get this thing put back together?  Once Hamas is eliminated or at least degraded to the point where it's manageable and we can get the Palestinian people back on their feet.  I think we're obligated to help them do that.  And I think that's where we're forging some relationships with the several hundred thousand Arab Muslims in Dearborn and around the suburbs around Dearborn.  And so I think that's the path that we were we're talking about.  That's the path we need to take. And getting them engaged in the solution after this is over is really, really important.  Well, the first thing they need to do is begin a very harsh containment policy.  Well, I think, you know, the Harris getting on the ticket by, you know, by appointment  certainly has gymed up certain aspects of intensity across the Democrat coalitions.  But at the end of the day, we still have these big problems in Michigan.  People can't afford groceries at the end of the month.  People are planning the last two and three and four days of the month going to food pantries  because they can't stretch their paychecks.  They are, you know, almost half, 40 some percent are living paycheck to paycheck in Michigan.  And gas prices are still up.  Food prices are still up.  They're mandating EVs.  And the government intervening in the U.S. car domestic production has caused 2,400 layoffs  with Stellantis, 1,000 layoffs now just announced with General Motors.  We have Ford announcing it's going to have to close some of its assembly lines.  This is having a tremendous negative impact.  And people see it.  And so that is where this election is going to go.  Yes. You know, does it gin up some some support in certain factions of the Democrat?  Yes. Does it get their intensity up? Yes.  But that's why this this poll, we just had the poll come out, had us tied 43-43.  And that's why. I mean, people are scratching their heads saying, I just don't know if I can afford another four years of the Biden-Harris agenda.  on Iran. Without containing Iran, you've got to stop that cash flow that's going into Hamas,  it's going into Hezbollah. It's a bit of a clue that the leader of Hamas was killed in Tehran.  They are up to this in their eyeballs and causing most of the problems. So they need to start there  and they can do two things at once. And then you've got to allow Israel to finish up eliminating and  degrading as many Hamas terrorists as possible. And we've got to make sure that that happens so  that they don't have the legs to kind of do another event. If they just do those couple of  things, they need to get the Saudis back into the game with the Houthis. The Houthis have been  causing us all kinds of problems since the Biden administration took them off the terrorist list.  Saudi has not been able to go after the Houthis, even though they were attacking Saudi Arabia,  because the Biden administration decided that  they shouldn't have weapons systems. So you have this cauldron across the Middle East by  happening because of really bad decisions coming out of the  Democrats in Washington and certainly the Biden-Harris administration.",L,M,Republican,Michigan,2024/9/1,75,9,-0.133917656,0.207289544,2024/9/8,46,75.0,1.630434783,4.50395541,0.195652174,2.592909595,-1.657608434,1.826086957,-0.044263703,0.644925666,-0.883726723,-1.078433318,-0.98527434,-0.985362701,-0.471864595,0.36027996,-0.188460328,-0.162423601,0.228812037,-0.210229208,0.244570337,-0.263301157,-0.226421211,-0.548983783,-0.601574731,-0.022641609,-0.120328946,0.365984908,0.277945498,0.661153701,0.073389808,0.042959525,0.525469325,0.030418251,0.242653662,0.593155894,0.586501901,0.619771863,-0.277305981,0.142329963,0.340184984,0.136613845,0.171102662,0.023764259,0.00095057,0.00095057,0.603612167,0.159695817,0.039923954,-0.5121833434360821,-0.3252655011434966,-0.2452052216518985,-0.3820636883325199,0.7260098073724507,-0.2086656614820276,-0.2234741879981737
2024-09-01_23-05-03_UTC_Colin_Allred_C_ZG5JXP2LS,2024/9/1,Colin Allred,C_ZG5JXP2LS,0.557620809,50.64,17,190,253,"You know, that's a fundamental freedom.  But you're also right that, of course, this is largely a conversation that's been held among women.  This is really going too far.  And so I do think there's, I've seen some change there.  For fathers, for folks who want to be fathers, for if you want to decide when to start a family,  if you want to have that freedom, which we've always had in this country,  to be able to decide this is a good time for us to start a family.  We had an issue with our pregnancy and  Not that it's not incredibly important for women.  This is also an incredibly important issue for men.  firmly that this is not just a women's issue.  You know, I have talked to a lot of men here in Texas who I think would not consider themselves to be pro-choice.  Thank God everything worked out okay.  But if it hadn't, you know...  And I think that you and I, as dads and as men, we can say...  about and considered to be a women's issue.  but who have said to me, you know,",L,M,Democratic,Texas,2024/9/1,533,51,-0.495392508,0.019640771,2024/9/8,44123,533.0,0.012079868,-0.384943573,0.00115586,0.379447063,-1.709144887,0.013235727,0.278356587,-0.017879116,0.290586288,-0.110080291,0.455657496,-0.234465167,1.026986205,-0.515808348,-0.498151376,-0.664103518,-0.370767479,-0.244535884,1.363479326,-1.386896451,0.212182483,1.352538493,0.815875602,-0.249022392,-0.054433659,0.455683345,0.356065558,0.225328493,0.150793631,0.141364719,0.459189968,0.52970297,0.555727798,0.618811881,0.603960396,0.638613861,-0.2877123,0.215715569,0.323000955,0.089774073,0.46039604,0.202970297,0.004950495,0.0,0.0,0.103960396,0.227722772,-0.4763897237525246,-0.3140627906445971,-0.2553086853714298,0.5163312556947492,0.2298716598779981,-0.3212472814308496,-0.2210095238348155
2024-09-02_20-13-04_UTC_Elissa_Slotkin_C_bX9EcSUu2,2024/9/2,Elissa Slotkin,C_bX9EcSUu2,0.797256948,33.56399093,8,108,151,"Do not give a single centimeter to the people who wrap themselves in the flag and then spit on the freedoms it represents.  So my message  And do not give an inch to the people who wrap themselves in the flag of the union and then spit on working people and the policies that make their lives better.  right, when they push for a better deal for themselves.  And there's nothing more American like American apple pie than joining a union.  My message here today is twofold.  We believe that our country is stronger when people are together,  when they push and pull on ideas, when they bargain.",W,F,Democratic,Michigan,2024/9/2,135,2,-0.288614399,-0.529792958,2024/9/9,20649,135.0,0.006537847,-0.287101232,9.69e-05,-0.527647038,-1.117545128,0.006634704,0.732326004,0.832260021,-0.500658601,-1.096723281,-0.823827994,2.474762096,-0.696698062,1.341522445,-0.010274776,0.050790364,-0.868879692,1.422768575,-0.855107403,1.75141555,-1.90242738,-0.058776999,0.075578793,0.383281368,-0.37213008,0.531053215,0.420271581,0.27274355,0.193364595,0.14628363,0.401197544,0.618421053,0.473026983,0.519736842,0.546052632,0.407894737,-0.281290104,0.180328028,0.547331198,0.149590785,0.572368421,0.098684211,0.019736842,0.013157895,0.098684211,0.197368421,0.0,-0.3861055772362067,-0.1009352398009261,1.0736688640534542,-0.3912425488090174,0.2823450066432561,-0.2530854758135032,0.1369971950616139
2024-09-02_22-33-22_UTC_Ruben_Gallego_C_boEzIyp5D,2024/9/2,Ruben Gallego,C_boEzIyp5D,0.6388366,26.9,5,80,128,"All my cousins, currently my brother-in-law, my brother-in-law, my sisters, my sister-in-law are all in unions,  and they have great middle-class wages, and I just want to make sure that we continue to have that opportunity for Arizonans,  for them to be able to have good middle-class wages with a secure retirement, with a workplace that is protected and the rights are protected.  And when unions do well, working class America does well.  We actually have a real middle class.",W,M,Democratic,Arizona,2024/9/2,331,19,-0.220588783,-0.395390427,2024/9/9,12144,331.0,0.027256258,-0.077876222,0.001564559,-0.362530272,-1.449875905,0.028820817,0.424849608,-1.307982726,-1.481032274,-0.496733885,-1.169703632,-0.841596353,-0.844670801,-0.709438628,-0.899974544,-0.844708288,0.824701833,2.052639148,-1.657574944,0.001655628,2.494517901,-0.031776463,0.034098408,0.030741602,0.288461647,0.519922111,0.314857132,0.261774314,0.101358135,0.05854011,0.303568038,0.378947368,0.630399781,0.505263158,0.547368421,0.347368421,0.238393841,0.108916615,0.293359226,0.180503921,0.136842105,0.0,0.0,0.157894737,0.0,0.410526316,0.294736842,-0.5137305547583678,-0.3409798369124052,-0.256873579276237,-0.6163754844198868,0.9534250072637012,-0.3239988228622446,-0.2279142707396309
2024-09-03_02-06-36_UTC_Tammy_Baldwin_C_cAbw4uDFA,2024/9/3,Tammy Baldwin,C_cAbw4uDFA,0.803891774,28.32,7,75,106,"Our workers do so much to keep our made-in-Wisconsin economy going strong  and to keep our state moving forward.  That's why I promise I'm always going to have your backs.  Wisconsin is home to the best workers in the world.  We make just about everything from paper to engines, from tools to ships, and from beer to brats and cheese and more.  And I'm going to say it again.  I always like to say this.",W,F,Democratic,Wisconsin,2024/9/3,341,11,-0.54808869,-0.636736665,2024/9/10,7694,341.0,0.04432025,-0.522691443,0.001429685,-0.578039044,-1.773196571,0.045749935,0.66818613,0.872850039,-0.922790572,-2.148568204,-1.850086181,3.980210668,-0.303322206,2.47747935,1.025041297,1.055941913,-0.868879692,0.073045918,-0.740469183,2.047742287,0.329944251,0.151196217,0.6909154,0.442984964,-0.036741273,0.317986866,0.216334284,0.509628253,0.315153908,0.332687044,0.392889427,0.671232877,0.66238871,0.383561644,0.383561644,0.438356164,-0.174385134,0.260975736,0.227626652,0.171876953,0.575342466,0.136986301,0.0,0.205479452,0.054794521,0.01369863,0.01369863,5.561290111944557,0.6725093279375324,-0.2152931022903683,-0.6090560703536743,-3.0385895349370142,-0.308528362015307,-0.2271792852904367
2024-09-03_15-02-13_UTC_Elissa_Slotkin_C_dZIZWONcm,2024/9/3,Elissa Slotkin,C_dZIZWONcm,0.763316027,31.58,9,109,165,"for our working parents trying to buy a home,  for our seniors whose Medicare and Social Security checks aren't going as far, right?  My sun and my moon, I'm a national security person by training, right?  My sun and my moon is that America has to be a place where anyone from anywhere can get into the middle class and beyond.  That is absolutely imperative.  We are a multiracial, multiethnic democracy.  If we can't.  have a place where anyone can work hard and get in the middle class, we're in trouble.  Right? And it's become harder to get in and stay in. For our young people dealing with debt.",W,F,Democratic,Michigan,2024/9/3,110,1,-0.301617804,-0.559914966,2024/9/10,20650,110.0,0.005326877,-0.300135553,4.84e-05,-0.557894084,-1.111621128,0.005375303,0.775023746,-4.933404163,-0.392947561,0.262077501,-0.171974776,2.231127107,0.070903944,0.203822452,0.951751719,0.974717545,-0.868879692,0.372984286,-0.944270463,1.514463679,-1.024565812,-0.901267434,0.704145527,0.335540557,-0.240241223,0.481582186,0.160386658,0.712901824,0.224880316,0.129884713,0.433217178,0.49137931,0.789847814,0.465517241,0.439655172,0.336206897,-0.45665694,0.166924033,0.50465642,0.172157507,0.336206897,0.103448276,0.129310345,0.00862069,0.353448276,0.034482759,0.034482759,2.64443325906345,0.1623319149435914,0.2601719990422659,-0.5371684905323013,-1.550697591723335,-0.1882127455321743,-0.2234676600972525
