party,state,name,keycode,post_date,post_likes,post_comments,post_likes_zscore,post_comments_zscore,follower_date,7days_followers,post_likes_clean,likes_by_follower,likes_by_follower_zscore,comments_by_follower,comments_by_follower_zscore,7days_followers_zscore,engagement_rate,engagement_rate_zscore
Democratic,Texas,Colin Allred,DB913i7v3EW,2024-11-04,1563,53,0.18248436296412174,0.053145616857440035,2024-11-11,71123,1563.0,0.02197601338526215,0.05660198679597055,0.0007451879138956456,-0.08085794022433614,1.0955427519037475,0.022721201299157796,0.2150805885138692
Democratic,Texas,Colin Allred,DB9d61BCDJa,2024-11-04,799,18,-0.3203291609549282,-0.5331891778197523,2024-11-11,71123,799.0,0.011234059305709827,-0.42268179229995057,0.0002530826877381438,-0.6324382401758744,1.0955427519037475,0.01148714199344797,-0.7790826394419605
Democratic,Texas,Colin Allred,DB9LJ1OAepL,2024-11-04,1230,31,-0.0366738876445741,-0.315407682653938,2024-11-11,71123,1230.0,0.01729398366210649,-0.1523004980717543,0.00043586462888235873,-0.4275655573367316,1.0955427519037475,0.01772984829098885,-0.32137638598465695
Republican,Pennsylvania,Dave McCormick,DB9u5zrSLdT,2024-11-04,145,3,-0.35307495106823356,-0.36394677975893946,2024-11-11,3697,145.0,0.039220989991885315,-1.2426760576902982,0.0008114687584527996,-0.5369028307543372,2.365987862044269,0.04003245875033811,-0.303053850076665
Republican,Pennsylvania,Dave McCormick,DB9oaBwS_lF,2024-11-04,201,12,0.23938002076020468,0.460429315332618,2024-11-11,3697,201.0,0.05436840681633757,-1.0681423484043078,0.0032458750338111983,-0.2662451929271855,2.365987862044269,0.05761428185014877,0.2957789206442382
Republican,Pennsylvania,Dave McCormick,DB9Mmetuw1O,2024-11-04,125,2,-0.5646660124355329,-0.4555441236580014,2024-11-11,3697,125.0,0.03381119826886665,-1.3050095252924374,0.0005409791723018664,-0.5669759016240207,2.365987862044269,0.034352177441168516,-0.431198381217412
Republican,Pennsylvania,Dave McCormick,DB86UQJOsxp,2024-11-04,159,5,-0.204961208111124,-0.18075209196081557,2024-11-11,3697,159.0,0.04300784419799838,-1.1990426303688004,0.001352447930754666,-0.4767566890149702,2.365987862044269,0.044360292128753046,-0.16302420915155258
Republican,Pennsylvania,Dave McCormick,DB70-iANlN9,2024-11-04,191,6,0.13358449007655498,-0.08915474806175364,2024-11-11,3697,191.0,0.05166351095482824,-1.0993090822053775,0.0016229375169055991,-0.44668361814528673,2.365987862044269,0.05328644847173384,0.018778516461370607
Republican,Texas,Ted Cruz,DB9p1SVyuaQ,2024-11-04,4774,136,-0.03824184335856595,-0.5184635861447358,2024-11-11,1242682,4774.0,0.0038416907945878352,-0.03919885542095703,0.0001094407096908139,-0.5190501085371623,2.103507668508616,0.003951131504278649,-0.26465576419695447
Republican,Texas,Ted Cruz,DB9JS3JRgCx,2024-11-04,4230,125,-0.1822761432087695,-0.5779247317905282,2024-11-11,1242682,4230.0,0.0034039279558245794,-0.18313781101682053,0.00010058888758346866,-0.5784675939890795,2.103507668508616,0.003504516843408048,-0.3613967690159547
Republican,Arizona,Kari Lake,DB9h1hKuaZX,2024-11-04,4824,108,-0.026285435637311196,-0.030019299486378104,2024-11-11,835612,4824.0,0.005773014269780712,-0.03878427317576662,0.0001292465881294189,-0.0387155119587005,2.387196197220477,0.00590226085791013,-0.02358613640104132
