keycode,label,topic
DA0_C94R3SS,0,Immigration
DA16bNdNMIc,2, Candidate Narratives
DA1Xo-VpMIM,3,Candidate Strategies(mix)
DA1ctzYiYQL,2, Candidate Narratives
DA1ob-XieJM,0,Immigration
DA1onbbB8Un,0,Immigration
DA1q7S2I-J5,0,Immigration
DA1s1N3Obwc,6,Abortion
DA2B4s4t0M3,2, Candidate Narratives
DA2Qyfpsaud,2, Candidate Narratives
DA37i35N09m,1,Voting
DA3g-ikM780,5,Candidate Criticism
DA3nDozxCy8,1,Voting
DA3pfRtvYDQ,2, Candidate Narratives
DA3zIIrOoSl,2, Candidate Narratives
DA4BXrpOmLA,5,Candidate Criticism
DA4b1E6Ko5-,4,Economic
DA4bE6JKHbD,4,Economic
DA4jv8aAwD5,6,Abortion
DA4mS6_AAmt,6,Abortion
DA4nDxfshhJ,6,Abortion
DA4sO4oA68S,4,Economic
DA4vPIbMZ6n,5,Candidate Criticism
DA5894AAr8d,4,Economic
DA66I2kJb99,3,Candidate Strategies(mix)
DA66vATCgBt,0,Immigration
DA6Dxd_R7Rn,6,Abortion
DA6Thn_up99,5,Candidate Criticism
DA6TtBCPics,0,Immigration
DA6XK06Cf8D,5,Candidate Criticism
DA6hLA7gWKv,4,Economic
DA6paiwqGiQ,4,Economic
DA7Aj-KtMnX,5,Candidate Criticism
DA7JtljKyaR,0,Immigration
DA7Kb6vNrQ1,2, Candidate Narratives
DA7L9vVsD5U,0,Immigration
DA7OKHPB_zY,0,Immigration
DA7OThSO7gg,0,Immigration
DA7PSCPhNxl,0,Immigration
DA7PsZEtQ5W,0,Immigration
DA7PzhJuWH0,0,Immigration
DA7RfcUv6l4,6,Abortion
DA7S-XaMMJy,6,Abortion
DA7TgULvIqM,4,Economic
DA7d3aGol6f,4,Economic
DA7d_m5Cdjf,5,Candidate Criticism
DA7e3jOtzxv,3,Candidate Strategies(mix)
DA7eHH9pRfT,0,Immigration
DA7eTKjPXbu,0,Immigration
DA7edmfq3NN,0,Immigration
DA7ektRCekI,4,Economic
DA7ewieP7LC,3,Candidate Strategies(mix)
DA8046jPRGt,2, Candidate Narratives
DA8iVftMW8q,1,Voting
DA8z-abu-nm,2, Candidate Narratives
DA99vTYAvEj,6,Abortion
DA9ZbNpteuL,1,Voting
DA9s_0YNOqC,2, Candidate Narratives
DA9tXO2vN4v,3,Candidate Strategies(mix)
DA_RUw9MWJa,5,Candidate Criticism
DA_UjSzggI3,6,Abortion
DA_WJ_tCBgx,3,Candidate Strategies(mix)
DA_WWc6PJtS,0,Immigration
DA_pHP_vtOH,3,Candidate Strategies(mix)
DA_qyoqp0Jv,0,Immigration
DA_ulW_yJ42,2, Candidate Narratives
DAj-oZvtm45,5,Candidate Criticism
DAkC7pMNJmk,4,Economic
DAkDv_ztlm_,4,Economic
DAkFBK1oFeg,0,Immigration
DAkFH3XNAPd,4,Economic
DAkGGdkIvKF,2, Candidate Narratives
DAkHrGnJT3v,0,Immigration
DAllv4PMhTV,2, Candidate Narratives
DAloj-WPbwa,4,Economic
DAlxK0VM5tn,0,Immigration
DAm3hHwAgld,3,Candidate Strategies(mix)
DAm6I3sgEQO,3,Candidate Strategies(mix)
DAmGqIJynBz,0,Immigration
DAmio6TtGXA,5,Candidate Criticism
DAoE5HxOmH2,5,Candidate Criticism
DAr0QHhtidm,5,Candidate Criticism
DArd-VkuI5T,5,Candidate Criticism
DArdBJZyzmB,4,Economic
DArswdLtT3E,6,Abortion
DArxp0NNw2P,3,Candidate Strategies(mix)
DAryxYyNs-5,2, Candidate Narratives
DAsQTXRKSbJ,0,Immigration
DAtIDq6M172,1,Voting
DAtRIXQpi2w,2, Candidate Narratives
DAuBtQ1O-a7,1,Voting
DAuVJ41vu4v,3,Candidate Strategies(mix)
DAuZRaOoaw6,2, Candidate Narratives
DAuZVZTAYc8,0,Immigration
DAv5H4OPwWp,2, Candidate Narratives
DAvXgsgg2ix,2, Candidate Narratives
DAvy8fJpsmT,5,Candidate Criticism
DAw3jhUPC0Y,5,Candidate Criticism
DAweL6-tZIu,6,Abortion
DAwjHSfOJXk,2, Candidate Narratives
DAwmlQGtwe3,6,Abortion
DAwobKhS9Jb,2, Candidate Narratives
DAwqgMXOdhv,2, Candidate Narratives
DAySF1JulAj,3,Candidate Strategies(mix)
DAypShqO-Hp,4,Economic
DAzEOUPtrlS,4,Economic
DB0Cbk3g7jT,1,Voting
DB0Kh5hgdFN,3,Candidate Strategies(mix)
DB1DaJtuGhg,5,Candidate Criticism
DB1INfzP5Af,1,Voting
DB1_7_cSEDQ,4,Economic
DB1cFGRxjMG,2, Candidate Narratives
DB1kKcry-ZK,1,Voting
DB1psM8JanN,3,Candidate Strategies(mix)
DB1rowdv5zN,0,Immigration
DB2G0RJS9F-,6,Abortion
DB2W82vqBlS,1,Voting
DB2X3eFNaHY,2, Candidate Narratives
DB2cAJYJFfK,6,Abortion
DB2dePUv9NT,3,Candidate Strategies(mix)
DB2oORzApOs,4,Economic
DB2r5RPij2H,6,Abortion
DB356aOuNlR,1,Voting
DB48u16ACAh,1,Voting
DB4NNSlyNOt,2, Candidate Narratives
DB4Rm_-P2x5,2, Candidate Narratives
DB4ZJ-pMvgB,1,Voting
DB4ak_1I0UG,4,Economic
DB4hQEKtApq,1,Voting
DB4sQLRKXuo,4,Economic
DB5BVpliTkG,6,Abortion
DB63PUdyUWF,1,Voting
DB6hOdSuPSi,5,Candidate Criticism
